Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5
-6,-0.062012, ,-6,-0.11769, ,-6,-0.175202, ,-6,-0.236822, ,-6,-0.298763, ,-6,-0.362882, ,-6,-0.41849, ,-6,-0.477244, ,-6,-0.536489, ,-6,-0.596065, ,-6,  1.475844e-16, ,-6,0.062012, ,-6,0.11769, ,-6,0.175202, ,-6,0.236822, ,-6,0.298763, ,-6,0.362882, ,-6,0.41849, ,-6,0.477244, ,-6,0.536489, ,-6,0.596065
-5.5,-0.071572, ,-5.5,-0.120078, ,-5.5,-0.183069, ,-5.5,-0.243817, ,-5.5,-0.305799, ,-5.5,-0.364845, ,-5.5,-0.425108, ,-5.5,-0.48526, ,-5.5,-0.545405, ,-5.5,-0.604814, ,-5.5,  1.303011e-16, ,-5.5,0.071572, ,-5.5,0.120078, ,-5.5,0.183069, ,-5.5,0.243817, ,-5.5,0.305799, ,-5.5,0.364845, ,-5.5,0.425108, ,-5.5,0.48526, ,-5.5,0.545405, ,-5.5,0.604814
-5,-0.103527, ,-5,-0.120664, ,-5,-0.175067, ,-5,-0.247699, ,-5,-0.310066, ,-5,-0.370896, ,-5,-0.42326, ,-5,-0.493072, ,-5,-0.553451, ,-5,-0.614027, ,-5,  1.078098e-16, ,-5,0.103527, ,-5,0.120664, ,-5,0.175067, ,-5,0.247699, ,-5,0.310066, ,-5,0.370896, ,-5,0.42326, ,-5,0.493072, ,-5,0.553451, ,-5,0.614027
-4.5,-0.079736, ,-4.5,-0.117115, ,-4.5,-0.164428, ,-4.5,-0.248207, ,-4.5,-0.30032, ,-4.5,-0.37651, ,-4.5,-0.440149, ,-4.5,-0.500411, ,-4.5,-0.561514, ,-4.5,-0.622606, ,-4.5,  8.970326e-17, ,-4.5,0.079736, ,-4.5,0.117115, ,-4.5,0.164428, ,-4.5,0.248207, ,-4.5,0.30032, ,-4.5,0.37651, ,-4.5,0.440149, ,-4.5,0.500411, ,-4.5,0.561514, ,-4.5,0.622606
-4,-0.059952, ,-4,-0.132385, ,-4,-0.190914, ,-4,-0.250668, ,-4,-0.317355, ,-4,-0.388725, ,-4,-0.436192, ,-4,-0.506594, ,-4,-0.570136, ,-4,-0.630426, ,-4,  7.001153e-17, ,-4,0.059952, ,-4,0.132385, ,-4,0.190914, ,-4,0.250668, ,-4,0.317355, ,-4,0.388725, ,-4,0.436192, ,-4,0.506594, ,-4,0.570136, ,-4,0.630426
-3.5,-0.0631, ,-3.5,-0.150691, ,-3.5,-0.184518, ,-3.5,-0.266067, ,-3.5,0.165258, ,-3.5,-0.76242, ,-3.5,-0.440974, ,-3.5,-0.522352, ,-3.5,-0.578801, ,-3.5,-0.637681, ,-3.5,  5.048137e-17, ,-3.5,0.0631, ,-3.5,0.150691, ,-3.5,0.184518, ,-3.5,0.266067, ,-3.5,-0.165258, ,-3.5,0.76242, ,-3.5,0.440974, ,-3.5,0.522352, ,-3.5,0.578801, ,-3.5,0.637681
-3,-0.055273, ,-3,-0.128871, ,-3,-0.198125, ,-3,-0.293033, ,-3,-0.306824, ,-3,-0.382648, ,-3,-0.492949, ,-3,-0.53842, ,-3,-0.550365, ,-3,-0.637094, ,-3,   2.96098e-17, ,-3,0.055273, ,-3,0.128871, ,-3,0.198125, ,-3,0.293033, ,-3,0.306824, ,-3,0.382648, ,-3,0.492949, ,-3,0.53842, ,-3,0.550365, ,-3,0.637094
-2.5,-0.067507, ,-2.5,-0.141952, ,-2.5,-0.195528, ,-2.5,-0.246794, ,-2.5,-0.317889, ,-2.5,-0.401937, ,-2.5,-0.468546, ,-2.5,-0.502143, ,-2.5,-0.566793, ,-2.5,-0.666124, ,-2.5,  9.409081e-18, ,-2.5,0.067507, ,-2.5,0.141952, ,-2.5,0.195528, ,-2.5,0.246794, ,-2.5,0.317889, ,-2.5,0.401937, ,-2.5,0.468546, ,-2.5,0.502143, ,-2.5,0.566793, ,-2.5,0.666124
-2,-0.070057, ,-2,-0.135163, ,-2,-0.189142, ,-2,-0.260284, ,-2,-0.330077, ,-2,-0.408183, ,-2,-0.372288, ,-2,-0.504532, ,-2,-0.602166, ,-2,-0.35881, ,-2,-1.00E-17, ,-2,0.070057, ,-2,0.135163, ,-2,0.189142, ,-2,0.260284, ,-2,0.330077, ,-2,0.408183, ,-2,0.372288, ,-2,0.504532, ,-2,0.602166, ,-2,0.35881
-1.5,-0.068862, ,-1.5,-0.129378, ,-1.5,-0.196153, ,-1.5,-0.26766, ,-1.5,-0.339284, ,-1.5,-0.399133, ,-1.5,-0.455116, ,-1.5,-0.522933, ,-1.5,-0.60202, ,-1.5,-0.653973, ,-1.5,-2.97E-17, ,-1.5,0.068862, ,-1.5,0.129378, ,-1.5,0.196153, ,-1.5,0.26766, ,-1.5,0.339284, ,-1.5,0.399133, ,-1.5,0.455116, ,-1.5,0.522933, ,-1.5,0.60202, ,-1.5,0.653973
-1,-0.064649, ,-1,-0.132955, ,-1,-0.200319, ,-1,-0.268194, ,-1,-0.33458, ,-1,-0.415808, ,-1,-0.460305, ,-1,-0.531077, ,-1,-0.600584, ,-1,-0.659865, ,-1,-4.91E-17, ,-1,0.064649, ,-1,0.132955, ,-1,0.200319, ,-1,0.268194, ,-1,0.33458, ,-1,0.415808, ,-1,0.460305, ,-1,0.531077, ,-1,0.600584, ,-1,0.659865
-0.5,-0.066635, ,-0.5,-0.13762, ,-0.5,-0.202205, ,-0.5,-0.268017, ,-0.5,-0.338409, ,-0.5,-0.402341, ,-0.5,-0.465584, ,-0.5,-0.544045, ,-0.5,-0.606341, ,-0.5,-0.670362, ,-0.5,-6.78E-17, ,-0.5,0.066635, ,-0.5,0.13762, ,-0.5,0.202205, ,-0.5,0.268017, ,-0.5,0.338409, ,-0.5,0.402341, ,-0.5,0.465584, ,-0.5,0.544045, ,-0.5,0.606341, ,-0.5,0.670362
0,-0.068409, ,0,-0.137018, ,0,-0.200113, ,0,-0.272902, ,0,-0.341291, ,0,-0.406934, ,0,-0.475962, ,0,-0.553981, ,0,-0.586214, ,0,-0.666846, ,0,-8.91E-17, ,0,0.068409, ,0,0.137018, ,0,0.200113, ,0,0.272902, ,0,0.341291, ,0,0.406934, ,0,0.475962, ,0,0.553981, ,0,0.586214, ,0,0.666846
0.5,-0.069488, ,0.5,-0.136813, ,0.5,-0.205636, ,0.5,-0.27665, ,0.5,-0.355674, ,0.5,-0.407944, ,0.5,-0.476274, ,0.5,-0.559671, ,0.5,-0.616094, ,0.5,-0.687032, ,0.5,-1.07E-16, ,0.5,0.069488, ,0.5,0.136813, ,0.5,0.205636, ,0.5,0.27665, ,0.5,0.355674, ,0.5,0.407944, ,0.5,0.476274, ,0.5,0.559671, ,0.5,0.616094, ,0.5,0.687032
1,-0.069443, ,1,-0.138638, ,1,-0.208104, ,1,-0.277969, ,1,-0.344758, ,1,-0.412199, ,1,-0.481905, ,1,-0.549912, ,1,-0.623145, ,1,-0.695715, ,1,-1.25E-16, ,1,0.069443, ,1,0.138638, ,1,0.208104, ,1,0.277969, ,1,0.344758, ,1,0.412199, ,1,0.481905, ,1,0.549912, ,1,0.623145, ,1,0.695715
1.5,-0.069907, ,1.5,-0.139802, ,1.5,-0.209779, ,1.5,-0.279656, ,1.5,-0.348911, ,1.5,-0.417467, ,1.5,-0.490588, ,1.5,-0.557733, ,1.5,-0.628465, ,1.5,-0.69907, ,1.5,-1.45E-16, ,1.5,0.069907, ,1.5,0.139802, ,1.5,0.209779, ,1.5,0.279656, ,1.5,0.348911, ,1.5,0.417467, ,1.5,0.490588, ,1.5,0.557733, ,1.5,0.628465, ,1.5,0.69907
2,-0.070247, ,2,-0.140742, ,2,-0.211273, ,2,-0.281934, ,2,-0.353134, ,2,-0.42494, ,2,-0.494652, ,2,-0.563984, ,2,-0.633974, ,2,-0.704881, ,2,-1.71E-16, ,2,0.070247, ,2,0.140742, ,2,0.211273, ,2,0.281934, ,2,0.353134, ,2,0.42494, ,2,0.494652, ,2,0.563984, ,2,0.633974, ,2,0.704881
2.5,-0.070749, ,2.5,-0.141619, ,2.5,-0.212509, ,2.5,-0.283582, ,2.5,-0.355745, ,2.5,-0.43805, ,2.5,-0.50849, ,2.5,-0.568776, ,2.5,-0.63803, ,2.5,-0.709757, ,2.5,-1.87E-16, ,2.5,0.070749, ,2.5,0.141619, ,2.5,0.212509, ,2.5,0.283582, ,2.5,0.355745, ,2.5,0.43805, ,2.5,0.50849, ,2.5,0.568776, ,2.5,0.63803, ,2.5,0.709757
3,-0.071324, ,3,-0.142356, ,3,-0.21342, ,3,-0.284325, ,3,-0.354081, ,3,-0.414215, ,3,-0.483817, ,3,-0.567372, ,3,-0.639328, ,3,-0.710844, ,3,-2.03E-16, ,3,0.071324, ,3,0.142356, ,3,0.21342, ,3,0.284325, ,3,0.354081, ,3,0.414215, ,3,0.483817, ,3,0.567372, ,3,0.639328, ,3,0.710844
3.5,-0.07141, ,3.5,-0.142819, ,3.5,-0.214178, ,3.5,-0.285375, ,3.5,-0.355847, ,3.5,-0.424125, ,3.5,-0.493069, ,3.5,-0.567448, ,3.5,-0.640183, ,3.5,-0.711889, ,3.5,-2.21E-16, ,3.5,0.07141, ,3.5,0.142819, ,3.5,0.214178, ,3.5,0.285375, ,3.5,0.355847, ,3.5,0.424125, ,3.5,0.493069, ,3.5,0.567448, ,3.5,0.640183, ,3.5,0.711889
4,-0.071463, ,4,-0.143164, ,4,-0.214807, ,4,-0.28663, ,4,-0.359768, ,4,-0.437206, ,4,-0.50628, ,4,-0.57336, ,4,-0.644748, ,4,-0.715625, ,4,-2.44E-16, ,4,0.071463, ,4,0.143164, ,4,0.214807, ,4,0.28663, ,4,0.359768, ,4,0.437206, ,4,0.50628, ,4,0.57336, ,4,0.644748, ,4,0.715625
4.5,-0.071811, ,4.5,-0.143467, ,4.5,-0.215102, ,4.5,-0.286747, ,4.5,-0.358741, ,4.5,-0.431613, ,4.5,-0.509687, ,4.5,-0.574451, ,4.5,-0.644919, ,4.5,-0.716816, ,4.5,-2.57E-16, ,4.5,0.071811, ,4.5,0.143467, ,4.5,0.215102, ,4.5,0.286747, ,4.5,0.358741, ,4.5,0.431613, ,4.5,0.509687, ,4.5,0.574451, ,4.5,0.644919, ,4.5,0.716816
5,-0.071909, ,5,-0.143604, ,5,-0.215138, ,5,-0.286258, ,5,-0.355791, ,5,-0.419001, ,5,-0.486684, ,5,-0.571241, ,5,-0.643488, ,5,-0.713841, ,5,-2.86E-16, ,5,0.071909, ,5,0.143604, ,5,0.215138, ,5,0.286258, ,5,0.355791, ,5,0.419001, ,5,0.486684, ,5,0.571241, ,5,0.643488, ,5,0.713841
5.5,-0.071855, ,5.5,-0.14361, ,5.5,-0.215191, ,5.5,-0.286434, ,5.5,-0.357225, ,5.5,-0.432035, ,5.5,-0.49674, ,5.5,-0.569501, ,5.5,-0.642635, ,5.5,-0.712925, ,5.5,-2.97E-16, ,5.5,0.071855, ,5.5,0.14361, ,5.5,0.215191, ,5.5,0.286434, ,5.5,0.357225, ,5.5,0.432035, ,5.5,0.49674, ,5.5,0.569501, ,5.5,0.642635, ,5.5,0.712925
6,-0.071778, ,6,-0.143548, ,6,-0.215268, ,6,-0.286882, ,6,-0.358348, ,6,-0.428335, ,6,-0.501299, ,6,-0.572123, ,6,-0.643438, ,6,-0.714793, ,6,-3.20E-16, ,6,0.071778, ,6,0.143548, ,6,0.215268, ,6,0.286882, ,6,0.358348, ,6,0.428335, ,6,0.501299, ,6,0.572123, ,6,0.643438, ,6,0.714793
6.5,-0.071627, ,6.5,-0.143344, ,6.5,-0.215172, ,6.5,-0.287162, ,6.5,-0.359078, ,6.5,-0.424886, ,6.5,-0.500403, ,6.5,-0.573791, ,6.5,-0.646143, ,6.5,-0.717156, ,6.5,-3.31E-16, ,6.5,0.071627, ,6.5,0.143344, ,6.5,0.215172, ,6.5,0.287162, ,6.5,0.359078, ,6.5,0.424886, ,6.5,0.500403, ,6.5,0.573791, ,6.5,0.646143, ,6.5,0.717156
7,-0.071327, ,7,-0.142883, ,7,-0.214618, ,7,-0.286876, ,7,-0.360707, ,7,-0.435575, ,7,-0.504068, ,7,-0.573498, ,7,-0.645197, ,7,-0.718633, ,7,-3.54E-16, ,7,0.071327, ,7,0.142883, ,7,0.214618, ,7,0.286876, ,7,0.360707, ,7,0.435575, ,7,0.504068, ,7,0.573498, ,7,0.645197, ,7,0.718633
7.5,-0.071035, ,7.5,-0.142076, ,7.5,-0.213299, ,7.5,-0.284849, ,7.5,-0.357597, ,7.5,-0.436076, ,7.5,-0.501757, ,7.5,-0.570297, ,7.5,-0.641725, ,7.5,-0.716155, ,7.5,-3.73E-16, ,7.5,0.071035, ,7.5,0.142076, ,7.5,0.213299, ,7.5,0.284849, ,7.5,0.357597, ,7.5,0.436076, ,7.5,0.501757, ,7.5,0.570297, ,7.5,0.641725, ,7.5,0.716155
8,-0.070421, ,8,-0.14083, ,8,-0.211285, ,8,-0.281543, ,8,-0.349826, ,8,-0.409138, ,8,-0.491136, ,8,-0.563652, ,8,-0.634528, ,8,-0.704396, ,8,-3.92E-16, ,8,0.070421, ,8,0.14083, ,8,0.211285, ,8,0.281543, ,8,0.349826, ,8,0.409138, ,8,0.491136, ,8,0.563652, ,8,0.634528, ,8,0.704396
8.5,-0.069543, ,8.5,-0.139182, ,8.5,-0.208822, ,8.5,-0.278579, ,8.5,-0.348844, ,8.5,-0.417473, ,8.5,-0.49009, ,8.5,-0.55575, ,8.5,-0.624951, ,8.5,-0.692218, ,8.5,-4.01E-16, ,8.5,0.069543, ,8.5,0.139182, ,8.5,0.208822, ,8.5,0.278579, ,8.5,0.348844, ,8.5,0.417473, ,8.5,0.49009, ,8.5,0.55575, ,8.5,0.624951, ,8.5,0.692218
9,-0.068621, ,9,-0.137167, ,9,-0.205697, ,9,-0.274404, ,9,-0.345113, ,9,-0.461122, ,9,-0.480135, ,9,-0.545768, ,9,-0.612897, ,9,-0.680197, ,9,-4.16E-16, ,9,0.068621, ,9,0.137167, ,9,0.205697, ,9,0.274404, ,9,0.345113, ,9,0.461122, ,9,0.480135, ,9,0.545768, ,9,0.612897, ,9,0.680197
9.5,-0.067435, ,9.5,-0.134726, ,9.5,-0.201808, ,9.5,-0.268364, ,9.5,-0.332593, ,9.5,-0.389731, ,9.5,-0.465734, ,9.5,-0.531787, ,9.5,-0.59543, ,9.5,-0.65363, ,9.5,-4.43E-16, ,9.5,0.067435, ,9.5,0.134726, ,9.5,0.201808, ,9.5,0.268364, ,9.5,0.332593, ,9.5,0.389731, ,9.5,0.465734, ,9.5,0.531787, ,9.5,0.59543, ,9.5,0.65363
10,-0.06602, ,10,-0.131893, ,10,-0.197462, ,10,-0.262382, ,10,-0.326331, ,10,-0.392039, ,10,-0.452723, ,10,-0.515524, ,10,-0.572656, ,10,-0.615578, ,10,-4.52E-16, ,10,0.06602, ,10,0.131893, ,10,0.197462, ,10,0.262382, ,10,0.326331, ,10,0.392039, ,10,0.452723, ,10,0.515524, ,10,0.572656, ,10,0.615578
10.5,-0.064392, ,10.5,-0.128659, ,10.5,-0.192654, ,10.5,-0.256104, ,10.5,-0.318614, ,10.5,-0.376041, ,10.5,-0.437491, ,10.5,-0.496125, ,10.5,-0.543759, ,10.5,-0.563888, ,10.5,-4.75E-16, ,10.5,0.064392, ,10.5,0.128659, ,10.5,0.192654, ,10.5,0.256104, ,10.5,0.318614, ,10.5,0.376041, ,10.5,0.437491, ,10.5,0.496125, ,10.5,0.543759, ,10.5,0.563888
11,-0.062467, ,11,-0.124877, ,11,-0.187048, ,11,-0.248824, ,11,-0.309197, ,11,-0.372623, ,11,-0.420389, ,11,-0.470577, ,11,-0.502566, ,11,-0.465919, ,11,-4.75E-16, ,11,0.062467, ,11,0.124877, ,11,0.187048, ,11,0.248824, ,11,0.309197, ,11,0.372623, ,11,0.420389, ,11,0.470577, ,11,0.502566, ,11,0.465919
11.5,-0.060244, ,11.5,-0.120343, ,11.5,-0.180126, ,11.5,-0.239641, ,11.5,-0.300898, ,11.5,-0.359729, ,11.5,-0.399415, ,11.5,-0.43506, ,11.5,-0.436956, ,11.5,-0.213669, ,11.5,-5.09E-16, ,11.5,0.060244, ,11.5,0.120343, ,11.5,0.180126, ,11.5,0.239641, ,11.5,0.300898, ,11.5,0.359729, ,11.5,0.399415, ,11.5,0.43506, ,11.5,0.436956, ,11.5,0.213669
12,-0.057595, ,12,-0.114857, ,12,-0.171455, ,12,-0.226673, ,12,-0.277774, ,12,-0.329817, ,12,-0.365263, ,12,-0.382614, ,12,-0.317914, ,12,1.632741, ,12,-5.10E-16, ,12,0.057595, ,12,0.114857, ,12,0.171455, ,12,0.226673, ,12,0.277774, ,12,0.329817, ,12,0.365263, ,12,0.382614, ,12,0.317914, ,12,-1.632741
